No,dteday,Musim,Tahun,Bulan,Jam,Hari_Libur,Hari,Hari_Kerja,Cuaca,Suhu,Suhu yang Dirasakan,Kelembaban,Kecepatan Angin,Jumlah
0,1/1/2011,Musim Dingin,0,Januari,0,Tidak,Jumat,Tidak,Cerah,0.24,0.2879,0.81,0,16
1,1/1/2011,Musim Dingin,0,Januari,1,Tidak,Jumat,Tidak,Cerah,0.22,0.2727,0.8,0,40
2,1/1/2011,Musim Dingin,0,Januari,2,Tidak,Jumat,Tidak,Cerah,0.22,0.2727,0.8,0,32
3,1/1/2011,Musim Dingin,0,Januari,3,Tidak,Jumat,Tidak,Cerah,0.24,0.2879,0.75,0,13
4,1/1/2011,Musim Dingin,0,Januari,4,Tidak,Jumat,Tidak,Cerah,0.24,0.2879,0.75,0,1
5,1/1/2011,Musim Dingin,0,Januari,5,Tidak,Jumat,Tidak,Berawan,0.24,0.2576,0.75,0.0896,1
6,1/1/2011,Musim Dingin,0,Januari,6,Tidak,Jumat,Tidak,Cerah,0.22,0.2727,0.8,0,2
7,1/1/2011,Musim Dingin,0,Januari,7,Tidak,Jumat,Tidak,Cerah,0.2,0.2576,0.86,0,3
8,1/1/2011,Musim Dingin,0,Januari,8,Tidak,Jumat,Tidak,Cerah,0.24,0.2879,0.75,0,8
9,1/1/2011,Musim Dingin,0,Januari,9,Tidak,Jumat,Tidak,Cerah,0.32,0.3485,0.76,0,14
10,1/1/2011,Musim Dingin,0,Januari,10,Tidak,Jumat,Tidak,Cerah,0.38,0.3939,0.76,0.2537,36
11,1/1/2011,Musim Dingin,0,Januari,11,Tidak,Jumat,Tidak,Cerah,0.36,0.3333,0.81,0.2836,56
12,1/1/2011,Musim Dingin,0,Januari,12,Tidak,Jumat,Tidak,Cerah,0.42,0.4242,0.77,0.2836,84
13,1/1/2011,Musim Dingin,0,Januari,13,Tidak,Jumat,Tidak,Berawan,0.46,0.4545,0.72,0.2985,94
14,1/1/2011,Musim Dingin,0,Januari,14,Tidak,Jumat,Tidak,Berawan,0.46,0.4545,0.72,0.2836,106
15,1/1/2011,Musim Dingin,0,Januari,15,Tidak,Jumat,Tidak,Berawan,0.44,0.4394,0.77,0.2985,110
16,1/1/2011,Musim Dingin,0,Januari,16,Tidak,Jumat,Tidak,Berawan,0.42,0.4242,0.82,0.2985,93
17,1/1/2011,Musim Dingin,0,Januari,17,Tidak,Jumat,Tidak,Berawan,0.44,0.4394,0.82,0.2836,67
18,1/1/2011,Musim Dingin,0,Januari,18,Tidak,Jumat,Tidak,Hujan,0.42,0.4242,0.88,0.2537,35
19,1/1/2011,Musim Dingin,0,Januari,19,Tidak,Jumat,Tidak,Hujan,0.42,0.4242,0.88,0.2537,37
20,1/1/2011,Musim Dingin,0,Januari,20,Tidak,Jumat,Tidak,Berawan,0.4,0.4091,0.87,0.2537,36
21,1/1/2011,Musim Dingin,0,Januari,21,Tidak,Jumat,Tidak,Berawan,0.4,0.4091,0.87,0.194,34
22,1/1/2011,Musim Dingin,0,Januari,22,Tidak,Jumat,Tidak,Berawan,0.4,0.4091,0.94,0.2239,28
23,1/1/2011,Musim Dingin,0,Januari,23,Tidak,Jumat,Tidak,Berawan,0.46,0.4545,0.88,0.2985,39
24,1/2/2011,Musim Dingin,0,Januari,0,Tidak,Sabtu,Tidak,Berawan,0.46,0.4545,0.88,0.2985,17
25,1/2/2011,Musim Dingin,0,Januari,1,Tidak,Sabtu,Tidak,Berawan,0.44,0.4394,0.94,0.2537,17
26,1/2/2011,Musim Dingin,0,Januari,2,Tidak,Sabtu,Tidak,Berawan,0.42,0.4242,1,0.2836,9
27,1/2/2011,Musim Dingin,0,Januari,3,Tidak,Sabtu,Tidak,Berawan,0.46,0.4545,0.94,0.194,6
28,1/2/2011,Musim Dingin,0,Januari,4,Tidak,Sabtu,Tidak,Berawan,0.46,0.4545,0.94,0.194,3
29,1/2/2011,Musim Dingin,0,Januari,6,Tidak,Sabtu,Tidak,Hujan,0.42,0.4242,0.77,0.2985,2
30,1/2/2011,Musim Dingin,0,Januari,7,Tidak,Sabtu,Tidak,Berawan,0.4,0.4091,0.76,0.194,1
